GEOID_tract,mta_stops,school_Private,school_SFCCD,school_SFUSD,school_total
06075010100,31,1,0,1,2
06075010200,33,1,0,1,2
06075010300,14,1,0,1,2
06075010400,25,2,0,1,3
06075010500,30,1,0,0,1
06075010600,17,1,0,1,2
06075010700,21,2,0,1,3
06075010800,16,0,0,0,0
06075010900,21,0,0,0,0
06075011000,31,0,0,1,1
06075011100,24,1,0,1,2
06075011200,23,2,0,0,2
06075011300,12,4,0,2,6
06075011700,50,1,0,0,1
06075011800,7,0,0,0,0
06075011901,4,0,0,0,0
06075011902,5,0,0,0,0
06075012000,9,0,0,0,0
06075012100,13,0,0,0,0
06075012201,4,0,0,0,0
06075012202,6,0,0,0,0
06075012301,10,1,0,0,1
06075012302,10,1,0,0,1
06075012401,8,0,0,0,0
06075012402,25,4,1,2,7
06075012501,14,4,0,1,5
06075012502,3,2,0,0,2
06075012601,2,0,0,0,0
06075012602,9,1,1,0,2
06075012700,20,2,0,1,3
06075012800,20,1,0,0,1
06075012901,7,1,0,0,1
06075012902,13,1,0,2,3
06075013000,12,0,0,1,1
06075013101,10,1,0,0,1
06075013102,8,0,0,0,0
06075013200,17,10,0,0,10
06075013300,15,3,0,1,4
06075013400,13,5,0,0,5
06075013500,15,1,0,0,1
06075015100,5,2,0,0,2
06075015200,8,5,0,0,5
06075015300,10,2,0,1,3
06075015400,18,4,0,1,5
06075015500,16,1,0,0,1
06075015600,8,0,0,0,0
06075015700,26,1,0,1,2
06075015801,14,5,0,3,8
06075015802,7,2,0,0,2
06075015900,13,3,0,1,4
06075016000,6,1,0,1,2
06075016100,13,0,0,1,1
06075016200,10,2,0,0,2
06075016300,12,2,0,0,2
06075016400,8,0,0,1,1
06075016500,22,2,1,1,4
06075016600,16,3,0,1,4
06075016700,13,0,0,0,0
06075016801,13,1,0,0,1
06075016802,7,4,0,1,5
06075016900,20,1,0,0,1
06075017000,21,1,0,1,2
06075017101,23,1,0,0,1
06075017102,19,1,0,1,2
06075017601,36,2,1,0,3
06075017700,35,1,0,0,1
06075017801,8,2,0,1,3
06075017802,19,3,0,1,4
06075017902,19,1,0,1,2
06075018000,25,0,0,1,1
06075020100,15,1,1,1,3
06075020200,7,4,0,0,4
06075020300,11,2,0,2,4
06075020401,27,0,0,1,1
06075020402,22,0,0,1,1
06075020500,20,2,0,1,3
06075020600,21,0,0,1,1
06075020700,4,3,0,0,3
06075020800,7,1,0,0,1
06075020900,16,3,1,2,6
06075021000,4,6,0,0,6
06075021100,12,0,0,2,2
06075021200,24,2,0,1,3
06075021300,16,0,0,0,0
06075021400,13,1,0,1,2
06075021500,12,2,0,0,2
06075021600,25,0,0,1,1
06075021700,35,4,0,1,5
06075021800,27,2,0,1,3
06075022600,25,4,0,0,4
06075022702,12,0,0,1,1
06075022704,15,2,0,3,5
06075022801,14,2,0,1,3
06075022802,10,0,0,0,0
06075022803,6,0,0,3,3
06075022901,12,2,0,0,2
06075022902,6,2,0,1,3
06075022903,14,3,0,1,4
06075023001,21,1,0,2,3
06075023003,13,0,0,1,1
06075023102,26,2,0,1,3
06075023103,30,2,0,1,3
06075023200,28,1,0,0,1
06075023300,14,0,0,0,0
06075023400,17,1,0,1,2
06075025100,14,0,0,0,0
06075025200,20,3,0,1,4
06075025300,14,1,0,0,1
06075025401,13,1,0,1,2
06075025402,18,0,0,1,1
06075025403,19,1,0,0,1
06075025500,31,0,0,0,0
06075025600,18,0,0,1,1
06075025701,10,2,0,0,2
06075025702,24,1,0,2,3
06075025800,7,0,0,0,0
06075025900,16,1,0,1,2
06075026001,17,0,0,2,2
06075026002,9,0,0,0,0
06075026003,27,1,0,1,2
06075026004,6,1,0,0,1
06075026100,27,2,0,3,5
06075026200,6,0,0,0,0
06075026301,13,1,0,0,1
06075026302,25,0,0,1,1
06075026303,10,1,0,1,2
06075026401,11,1,0,1,2
06075026402,15,0,0,0,0
06075026403,17,1,0,0,1
06075026404,8,1,0,0,1
06075030101,19,1,0,1,2
06075030102,22,2,0,1,3
06075030201,11,3,0,2,5
06075030202,20,1,0,0,1
06075030301,29,1,0,1,2
06075030302,22,0,0,0,0
06075030400,23,0,0,1,1
06075030500,21,0,0,0,0
06075030600,24,2,0,0,2
06075030700,35,1,0,1,2
06075030800,50,6,0,1,7
06075030900,47,3,0,2,5
06075031000,20,1,0,0,1
06075031100,31,5,1,2,8
06075031201,20,3,0,0,3
06075031202,14,1,0,0,1
06075031301,12,1,0,0,1
06075031302,18,1,0,1,2
06075031400,24,0,0,1,1
06075032601,21,1,0,1,2
06075032602,8,1,0,0,1
06075032700,15,1,0,1,2
06075032801,13,3,0,1,4
06075032802,13,2,0,0,2
06075032901,24,1,0,1,2
06075032902,10,0,0,0,0
06075033000,27,4,0,1,5
06075033100,19,0,0,0,0
06075033201,27,3,0,2,5
06075033203,12,0,0,0,0
06075033204,11,1,0,0,1
06075035100,16,1,0,1,2
06075035201,16,2,0,1,3
06075035202,16,0,0,0,0
06075035300,24,6,0,4,10
06075035400,29,1,0,0,1
06075040100,16,4,0,0,4
06075040200,20,3,0,2,5
06075042601,5,2,0,1,3
06075042602,9,2,0,0,2
06075042700,19,5,0,1,6
06075042800,5,1,0,0,1
06075045100,12,1,0,0,1
06075045200,23,3,0,1,4
06075047600,16,0,0,2,2
06075047701,11,1,0,0,1
06075047702,9,2,0,0,2
06075047801,17,2,0,2,4
06075047802,10,0,0,0,0
06075047901,19,3,0,0,3
06075047902,11,0,0,0,0
06075060100,20,6,0,1,7
06075060400,31,5,0,0,5
06075060502,12,0,0,0,0
06075060700,49,4,0,0,4
06075061000,29,0,0,1,1
06075061100,16,5,1,1,7
06075061200,24,0,0,1,1
06075061400,39,2,0,1,3
06075061500,80,7,0,0,7
06075980200,5,1,0,0,1
06075980300,47,0,0,0,0
06075980501,23,0,0,5,5
06075980600,5,0,0,0,0
06075980900,62,4,2,0,6
